MUSTERDATENSATZ,staedte,datensaetze
Freizeit - Sitzgelegenheiten,1,1
Friedhöfe - Ehrengräber,1,1
Friedhöfe - Einrichtungen,3,3
Friedhöfe - Grabstätten,16,17
Fuhrpark - KFZ-Bestand,1,1
Gesamtsumme,39,2370
Geschichte - Archivbestand,3,4
Geschichte - Entschädigungen,1,1
Geschichte - Historische Luftaufnahmen,3,3
Geschichte - Information,2,2
Geschichte - Personalverzeichnis historisch,2,2
Gesundheitseinrichtungen - Apotheken,3,3
Gesundheitseinrichtungen - Bäder,1,1
Gesundheitseinrichtungen - Drogenhilfe,1,1
Gesundheitseinrichtungen - Hebammen,1,2
Gesundheitseinrichtungen - Krankenhäuser,7,7
Gesundheitseinrichtungen - Pflege,1,1
Gewässer - Pegelstände,2,3
Gewässer - Wasserflächen,3,3
Grünflächen - Ausgleichsflächen,1,1
Grünflächen - Baumbestand/Baumkataster,5,5
Grünflächen - Baumfällungen,1,4
Grünflächen - Biotopflächen,1,1
Grünflächen - Blumenampeln,1,1
Grünflächen - Brunnen,1,1
Grünflächen - Grünflächen/Grünflächenkataster,4,5
Grünflächen - Hundekottüten,3,3
Grünflächen - Hundewiesen,2,2
Grünflächen - Jagdbezirke,1,1
Grünflächen - Kleingärten,1,1
Grünflächen - Naturschutz,3,4
Grünflächen - Parkanlagen,5,5
Grünflächen - Urban Gardening,1,1
Grünflächen - Waldflächen,2,2
Haushalt - Außerplanmäßige Aufwendungen,1,2
Haushalt - Controlling,1,6
Haushalt - Eckdaten,5,13
Haushalt - Einzeldarstellungen,1,1
Haushalt - Ergebnisplan,2,5
Haushalt - Finanzplan,2,3
Haushalt - Förderungen,1,1
Haushalt - Haushaltskonsolidierung,1,1
Haushalt - Haushaltsplan,8,32
Haushalt - Jahresabschluss,1,1
Haushalt - Metadaten,1,3
Haushalt - Produktbereichssummen,1,1
Haushalt - Produktgruppen,1,1
Haushalt - Produktpläne,1,7
Haushalt - Satzung,1,4
Haushalt - Sicherungskonzept,1,1
Haushalt - Sponsoring,1,1
Haushalt - Zuwendungen Politische Gremien,1,1
Hochschulen - Gebäude,2,2
Hochschulen - Studierendenzahlen,3,3
Individualverkehr - Baustellen,3,3
Individualverkehr - Bußgelder,19,43
Individualverkehr - Carsharing,3,4
Individualverkehr - Fahrzeugzulassungen,5,8
Individualverkehr - KFZ-Bestand,3,3
Individualverkehr - Kennzahlen,2,4
Individualverkehr - Lärm,4,6
Individualverkehr - Messstellen,7,35
Individualverkehr - Messtellen,1,2
Individualverkehr - Schwerlastverkehr,1,4
Individualverkehr - Sondernutzungen,2,3
Individualverkehr - Straßenverkehr,1,1
Individualverkehr - Taxis,3,3
Individualverkehr - Unfälle,5,17
Infrastruktur - Adressen,4,4
Infrastruktur - Ampelanlagen,4,5
Infrastruktur - Autobahnanbindung,1,1
Infrastruktur - Baustellen,1,2
Infrastruktur - Beleuchtung,3,3
Infrastruktur - Brücken,1,1
Infrastruktur - Elektrotankstellen,2,3
Infrastruktur - Fahrradstraßen,1,1
Infrastruktur - Flughäfen,2,2
Infrastruktur - Fußgängerzonen,1,1
Infrastruktur - Laufstrecken,1,1
Infrastruktur - Parkplätze,8,29
Infrastruktur - Schiffsanlegestellen,2,2
Infrastruktur - Straßen,33,48
Infrastruktur - Straßenreinigung,4,6
Infrastruktur - Tankstellen,1,1
Infrastruktur - WLAN und Mobilfunk,9,11
Infrastruktur - Öffentliche Toiletten,4,4
Infrastrukur - Elektrotankstellen,2,3
Jugend - Einrichtungen,5,6
Justiz - Einrichtungen,2,2
Justiz - Gesetzestexte,1,1
